vertical,brand,model_title,collection_handle,breadcrumb_labels,breadcrumb_handles,aliases
sneakers,nike,Nike x NOCTA,nike-x-nocta,Sneakers > Nike > Nike x NOCTA,sneakers > nike > nike-x-nocta,"nocta, nike nocta, drake nocta"
sneakers,nike,Nike ReactX Rejuven8,nike-reactx-rejuven8,Sneakers > Nike > Nike ReactX Rejuven8,sneakers > nike > nike-reactx-rejuven8,"rejuven8, reactx rejuven8, nike rejuven8"
sneakers,jordan,Air Jordan,air-jordan,Sneakers > Air Jordan,sneakers > air-jordan,"jordan, air jordan"
sneakers,jordan,Air Jordan 1,air-jordan-1,Sneakers > Air Jordan > Air Jordan 1,sneakers > air-jordan > air-jordan-1,"aj1, jordan 1, air jordan 1"
sneakers,jordan,Air Jordan 1 Retro High,air-jordan-1-high,Sneakers > Air Jordan > Air Jordan 1 > Air Jordan 1 High,sneakers > air-jordan > air-jordan-1 > air-jordan-1-high,"aj1 high, jordan 1 high, j1 high, air jordan 1 high"
sneakers,jordan,Air Jordan 1 Mid,air-jordan-1-mid,Sneakers > Air Jordan > Air Jordan 1 > Air Jordan 1 Mid,sneakers > air-jordan > air-jordan-1 > air-jordan-1-mid,"aj1 mid, jordan 1 mid, air jordan 1 mid"
sneakers,jordan,Air Jordan 1 Low,air-jordan-1-low,Sneakers > Air Jordan > Air Jordan 1 > Air Jordan 1 Low,sneakers > air-jordan > air-jordan-1 > air-jordan-1-low,"aj1 low, jordan 1 low, air jordan 1 low"
sneakers,jordan,Air Jordan 2,air-jordan-2,Sneakers > Air Jordan > Air Jordan 2,sneakers > air-jordan > air-jordan-2,"aj2, jordan 2, air jordan 2"
sneakers,jordan,Air Jordan 3,air-jordan-3,Sneakers > Air Jordan > Air Jordan 3,sneakers > air-jordan > air-jordan-3,"aj3, jordan 3, air jordan 3"
sneakers,jordan,Air Jordan 4,air-jordan-4,Sneakers > Air Jordan > Air Jordan 4,sneakers > air-jordan > air-jordan-4,"aj4, jordan 4, j4, air jordan 4"
sneakers,jordan,Air Jordan 5,air-jordan-5,Sneakers > Air Jordan > Air Jordan 5,sneakers > air-jordan > air-jordan-5,"aj5, jordan 5, air jordan 5"
sneakers,jordan,Air Jordan 6,air-jordan-6,Sneakers > Air Jordan > Air Jordan 6,sneakers > air-jordan > air-jordan-6,"aj6, jordan 6, air jordan 6"
sneakers,jordan,Air Jordan 11,air-jordan-11,Sneakers > Air Jordan > Air Jordan 11,sneakers > air-jordan > air-jordan-11,"aj11, jordan 11, air jordan 11"
sneakers,adidas,Adidas,adidas,Sneakers > Adidas,sneakers > adidas,"adidas"
sneakers,adidas,Samba,adidas-samba,Sneakers > Adidas > Adidas Samba,sneakers > adidas > adidas-samba,"samba, samba og, samba classic, adidas samba"
sneakers,adidas,Spezial,adidas-spezial,Sneakers > Adidas > Adidas Spezial,sneakers > adidas > adidas-spezial,"spzl, spezial, handball spezial, adidas spezial"
sneakers,adidas,Gazelle,adidas-gazelle,Sneakers > Adidas > Adidas Gazelle,sneakers > adidas > adidas-gazelle,"gazelle, gazelle og, gazelle indoor, adidas gazelle"
sneakers,adidas,Campus,adidas-campus,Sneakers > Adidas > Adidas Campus,sneakers > adidas > adidas-campus,"campus 00s, campus 80s, adidas campus"
sneakers,adidas,SL 72,adidas-sl72,Sneakers > Adidas > Adidas SL 72,sneakers > adidas > adidas-sl72,"sl72, sl 72 rs, adidas sl 72"
sneakers,adidas,XLG Runner,adidas-xlg-runner,Sneakers > Adidas > Adidas XLG Runner,sneakers > adidas > adidas-xlg-runner,"xlg runner, adidas xlg, xlg"
sneakers,adidas,Superstar,adidas-superstar,Sneakers > Adidas > Adidas Superstar,sneakers > adidas > adidas-superstar,"superstar, adidas superstar, shell toe"
sneakers,adidas,Taekwondo,adidas-taekwendo,Sneakers > Adidas > Adidas Taekwondo,sneakers > adidas > adidas-taekwendo,"taekwondo, adidas taekwondo"
sneakers,adidas,Ultra Boost,adidas-ultra-boost,Sneakers > Adidas > Adidas Ultra Boost,sneakers > adidas > adidas-ultra-boost,"ultraboost, ultra boost 5.0, adidas ultra boost"
sneakers,adidas,Forum Low,adidas-forum-low,Sneakers > Adidas > Adidas Forum > Forum Low,sneakers > adidas > adidas-forum > adidas-forum-low,"forum low, forum 84 low, adidas forum low"
sneakers,yeezy,Yeezy,yeezy,Sneakers > Yeezy,sneakers > yeezy,"yeezy, adidas yeezy"
sneakers,yeezy,Yeezy Slide,yeezy-slide,Sneakers > Yeezy > Yeezy Slide,sneakers > yeezy > yeezy-slide,"yeezy slide, adidas yeezy slide, mules"
sneakers,yeezy,Yeezy Foam Runner,foam-rnr,Sneakers > Yeezy > Yeezy Foam Runner,sneakers > yeezy > foam-rnr,"foam runner, yeezy foam, yeezy foam runner, yeezy-foam-runner"
sneakers,yeezy,Yeezy Boost 350 V2,yeezy-350,Sneakers > Yeezy > Yeezy Boost 350 V2,sneakers > yeezy > yeezy-350,"yeezy 350, yeezy 350 v2, boost 350 v2, yeezy boost 350 v2, yeezy-boost-350-v2"
sneakers,yeezy,Yeezy 380,yeezy-380,Sneakers > Yeezy > Yeezy 380,sneakers > yeezy > yeezy-380,"yeezy 380, yeezy boost 380"
sneakers,yeezy,Yeezy 500,yeezy-500,Sneakers > Yeezy > Yeezy 500,sneakers > yeezy > yeezy-500,"yeezy 500, yeezy boost 500"
sneakers,yeezy,Yeezy 700,yeezy-700,Sneakers > Yeezy > Yeezy 700,sneakers > yeezy > yeezy-700,"yeezy 700, wave runner, yeezy boost 700"
sneakers,yeezy,Autres Yeezy,autre-yeezy,Sneakers > Yeezy > Autres Yeezy,sneakers > yeezy > autre-yeezy,"autre yeezy, other yeezy"
sneakers,asics,ASICS,asics,Sneakers > ASICS,sneakers > asics,"asics"
sneakers,asics,Gel-NYC,gel-nyc,Sneakers > ASICS > ASICS Gel-NYC,sneakers > asics > gel-nyc,"gel nyc, asics gel nyc, nyc"
sneakers,asics,Gel-1130,gel-1130,Sneakers > ASICS > ASICS Gel-1130,sneakers > asics > gel-1130,"gel 1130, asics gel 1130, 1130"
sneakers,asics,Gel-Kayano 14,asics-gel-kayano-14,Sneakers > ASICS > ASICS Gel-Kayano 14,sneakers > asics > asics-gel-kayano-14,"kayano 14, gel kayano, asics gel kayano 14"
sneakers,asics,Gel-Nimbus,asics-gel-nimbus,Sneakers > ASICS > ASICS Gel-Nimbus,sneakers > asics > asics-gel-nimbus,"gel nimbus, nimbus, asics gel nimbus"
sneakers,asics,GT-2160,asics-gt-2160,Sneakers > ASICS > ASICS GT-2160,sneakers > asics > asics-gt-2160,"gt 2160, asics gt 2160, gel 2160"
sneakers,asics,Onitsuka Tiger,onitsuka-tiger,Sneakers > ASICS > Onitsuka Tiger,sneakers > asics > onitsuka-tiger,"onitsuka, tiger, mexico 66, onitsuka tiger"
sneakers,asics,ASICS Running,asics-running,Sneakers > ASICS > ASICS Running,sneakers > asics > asics-running,"running asics, asics running"
sneakers,asics,Gel-Lyte III,asics-gel-lyt-iii,Sneakers > ASICS > ASICS Gel-Lyte III,sneakers > asics > asics-gel-lyt-iii,"gel lyte 3, gel lyte iii, asics gel lyte"
sneakers,asics,Autres modèles ASICS,asics-other-models,Sneakers > ASICS > Autres modèles ASICS,sneakers > asics > asics-other-models,"autres asics, other asics, asics other models"
sneakers,new-balance,New Balance,new-balance,Sneakers > New Balance,sneakers > new-balance,"new balance, nb"
sneakers,new-balance,9060,9060,Sneakers > New Balance > New Balance 9060,sneakers > new-balance > 9060,"nb 9060, new balance 9060"
sneakers,new-balance,2002R,new-balance-2002r,Sneakers > New Balance > New Balance 2002R,sneakers > new-balance > new-balance-2002r,"nb 2002r, new balance 2002r, 2002"
sneakers,new-balance,1906R,new-balance-1906r,Sneakers > New Balance > New Balance 1906R,sneakers > new-balance > new-balance-1906r,"nb 1906r, new balance 1906r, 1906"
sneakers,new-balance,550,new-balance-550,Sneakers > New Balance > New Balance 550,sneakers > new-balance > new-balance-550,"nb 550, new balance 550, bb550"
sneakers,new-balance,530,new-balance-530,Sneakers > New Balance > New Balance 530,sneakers > new-balance > new-balance-530,"nb 530, new balance 530, mr530"
sneakers,new-balance,204L,new-balance-204l,Sneakers > New Balance > New Balance 204L,sneakers > new-balance > new-balance-204l,"nb 204l, new balance 204l, 204l"
sneakers,new-balance,740,new-balance-740,Sneakers > New Balance > New Balance 740,sneakers > new-balance > new-balance-740,"nb 740, new balance 740, m740"
sneakers,ugg,UGG,ugg,Sneakers > UGG,sneakers > ugg,"ugg"
sneakers,ugg,UGG Tazz,ugg-tazz,Sneakers > UGG > UGG Tazz,sneakers > ugg > ugg-tazz,"ugg tazz, tazz"
sneakers,ugg,UGG Tasman,ugg-tasman,Sneakers > UGG > UGG Tasman,sneakers > ugg > ugg-tasman,"ugg tasman, tasman"
sneakers,ugg,UGG Classic Mini,ugg-classic-mini,Sneakers > UGG > UGG Classic Mini,sneakers > ugg > ugg-classic-mini,"classic mini, ugg mini, ugg classic mini"
sneakers,birkenstock,Birkenstock,birkenstock,Sneakers > Birkenstock,sneakers > birkenstock,"birkenstock, birk"
sneakers,birkenstock,Arizona,birkenstock-arizona,Sneakers > Birkenstock > Birkenstock Arizona,sneakers > birkenstock > birkenstock-arizona,"birk arizona, arizona sandal, birkenstock arizona"
sneakers,birkenstock,Boston,birkenstock-boston,Sneakers > Birkenstock > Birkenstock Boston,sneakers > birkenstock > birkenstock-boston,"birk boston, boston clog, birkenstock boston"
sneakers,clarks,Clarks,clarks,Sneakers > Clarks,sneakers > clarks,"clarks"
sneakers,clarks,Wallabee,clarks-wallabee,Sneakers > Clarks > Clarks Wallabee,sneakers > clarks > clarks-wallabee,"wallabee, wallabees, clarks wallabee"
streetwear,fear-of-god-essentials,Essentials,fear-of-god-essentials,Vêtements > Fear of God Essentials,vetements > fear-of-god-essentials,"essentials, fear of god, fog essentials"
streetwear,sp5der,Sp5der,sp5der,Vêtements > Sp5der,vetements > sp5der,"sp5der, spider"
streetwear,off-white,Off White,off-white,Vêtements > Off-White,vetements > off-white,"off white, off-white"
streetwear,denim-tears,Denim Tears,denim-tears,Vêtements > Denim Tears,vetements > denim-tears,"denim tears"
streetwear,travis-scott,Travis Scott,vetement-travis,Vêtements > Travis Scott,vetements > vetement-travis,"travis, cactus jack, travis scott clothing"
streetwear,nike-x-nocta-apparel,Nike x NOCTA Apparel,nike-x-nocta-apparel,Streetwear > Nike x NOCTA Apparel,streetwear > nike-x-nocta-apparel,"nocta apparel, nike nocta clothing, drake nocta apparel"
objets-de-collection,lego,LEGO,lego,Lego > LEGO,lego > lego,"lego"
objets-de-collection,lego,LEGO Star Wars,lego-star-wars,Lego > LEGO > LEGO Star Wars,lego > lego > lego-star-wars,"star wars lego, lego sw, lego star wars"
objets-de-collection,lego,LEGO Technic,lego-technic,Lego > LEGO > LEGO Technic,lego > lego > lego-technic,"lego technic, technic"
objets-de-collection,lego,LEGO Harry Potter,lego-harry-potter,Lego > LEGO > LEGO Harry Potter,lego > lego > lego-harry-potter,"harry potter lego, lego hp"
objets-de-collection,lego,LEGO City,lego-city,Lego > LEGO > LEGO City,lego > lego > lego-city,"lego city"
objets-de-collection,lego,LEGO Icons,lego-icons,Lego > LEGO > LEGO Icons,lego > lego > lego-icons,"lego icons"
objets-de-collection,lego,LEGO Botanicals,lego-botanicals,Lego > LEGO > LEGO Botanicals,lego > lego > lego-botanicals,"lego flowers, lego plants, lego botanicals"
objets-de-collection,lego,LEGO Marvel,lego-marvel,Lego > LEGO > LEGO Marvel,lego > lego > lego-marvel,"lego marvel"
objets-de-collection,lego,LEGO NINJAGO,lego-ninjago,Lego > LEGO > LEGO NINJAGO,lego > lego > lego-ninjago,"lego ninjago, ninjago"
objets-de-collection,lego,LEGO Friends,lego-friends,Lego > LEGO > LEGO Friends,lego > lego > lego-friends,"lego friends"
objets-de-collection,lego,LEGO Speed Champions,lego-speed-champions,Lego > LEGO > LEGO Speed Champions,lego > lego > lego-speed-champions,"lego cars, lego f1, speed champions"
objets-de-collection,lego,LEGO Disney,lego-disney,Lego > LEGO > LEGO Disney,lego > lego > lego-disney,"lego disney"
objets-de-collection,pop-mart,Pop Mart,pop-mart,Objets de collection > Pop Mart,objets-de-collection > pop-mart,"popmart, pop mart figures, pop mart"
objets-de-collection,labubu,Labubu,labubu,Objets de collection > Pop Mart > Labubu,objets-de-collection > pop-mart > labubu,"labubu, labubu monster"
objets-de-collection,pokemon,Pokémon,pokemon,Objets de collection > Pokémon,objets-de-collection > pokemon,"pokemon cards, pokemon tcg, pokemon"
sneakers,mizuno,Mizuno,mizuno,Sneakers > Mizuno,sneakers > mizuno,"mizuno"
sneakers,crocs,Crocs,crocs,Sneakers > Crocs,sneakers > crocs,"crocs"
sneakers,hoka,Hoka,hoka,Sneakers > Hoka,sneakers > hoka,"hoka"
sneakers,converse,Converse,converse,Sneakers > Converse,sneakers > converse,"converse, chuck taylor"
sneakers,saucony,Saucony,saucony,Sneakers > Saucony,sneakers > saucony,"saucony"
sneakers,saucony,ProGrid Omni 9,saucony-progrid-omni-9,Sneakers > Saucony > Saucony ProGrid Omni 9,sneakers > saucony > saucony-progrid-omni-9,"progrid omni, omni 9"
sneakers,saucony,ProGrid Triumph 4,saucony-progrid-triumph-4,Sneakers > Saucony > Saucony ProGrid Triumph 4,sneakers > saucony > saucony-progrid-triumph-4,"progrid triumph, triumph 4"
sneakers,salomon,Salomon,salomon,Sneakers > Salomon,sneakers > salomon,"salomon"
sneakers,puma,Puma,puma,Sneakers > Puma,sneakers > puma,"puma"
sneakers,puma,Speedcat,puma-speedcat,Sneakers > Puma > Puma Speedcat,sneakers > puma > puma-speedcat,"speedcat, puma speedcat"
sneakers,on,On Running,on,Sneakers > On Running,sneakers > on,"on running, on cloud"
sneakers,maison-mihara,Maison Mihara,maison-mihara,Sneakers > Maison Mihara,sneakers > maison-mihara,"maison mihara, mihara yasuhiro"
sneakers,nike,Nike x Travis Scott,air-jordan-x-travis-scott,Sneakers > Nike > Nike x Travis Scott,sneakers > nike > air-jordan-x-travis-scott,"travis scott, cactus jack"
sneakers,nike,Nike Cortez,nike-cortez,Sneakers > Nike > Nike Cortez,sneakers > nike > nike-cortez,"cortez, nike cortez"
sneakers,nike,Nike x Off-White,nike-x-off-white,Sneakers > Nike > Nike x Off-White,sneakers > nike > nike-x-off-white,"off white nike, nike off white"
sneakers,jordan,Autres Jordan,autre-jordan,Sneakers > Air Jordan > Autres Jordan,sneakers > air-jordan > autre-jordan,"autre jordan, other jordan"
sneakers,new-balance,574,new-balance-574,Sneakers > New Balance > New Balance 574,sneakers > new-balance > new-balance-574,"nb 574, new balance 574"
sneakers,new-balance,990,new-balance-990,Sneakers > New Balance > New Balance 990,sneakers > new-balance > new-balance-990,"nb 990, new balance 990"
sneakers,new-balance,327,new-balance-327,Sneakers > New Balance > New Balance 327,sneakers > new-balance > new-balance-327,"nb 327, new balance 327, ms327"
sneakers,new-balance,1000,new-balance-1000,Sneakers > New Balance > New Balance 1000,sneakers > new-balance > new-balance-1000,"nb 1000, new balance 1000, m1000"
sneakers,new-balance,Autres modèles New Balance,new-balance-other-models,Sneakers > New Balance > Autres modèles New Balance,sneakers > new-balance > new-balance-other-models,"autres new balance, other new balance, nb other models"
streetwear,gallery-dept,Gallery Dept.,gallery-dept,Streetwear > Gallery Dept.,streetwear > gallery-dept,"gallery dept"
streetwear,hellstar,Hellstar,hellstar,Streetwear > Hellstar,streetwear > hellstar,"hellstar"
streetwear,jacquemus,Jacquemus,jacquemus,Streetwear > Jacquemus,streetwear > jacquemus,"jacquemus"
streetwear,ami-paris,AMI Paris,ami-paris,Streetwear > AMI Paris,streetwear > ami-paris,"ami paris"
streetwear,the-north-face,The North Face,the-north-face,Streetwear > The North Face,streetwear > the-north-face,"north face, tnf"
streetwear,stone-island,Stone Island,stone-island,Streetwear > Stone Island,streetwear > stone-island,"stone island"
streetwear,supreme,Supreme,supreme,Streetwear > Supreme,streetwear > supreme,"supreme"
streetwear,bape,BAPE,bape,Streetwear > BAPE,streetwear > bape,"bape, a bathing ape"
streetwear,chrome-hearts,Chrome Hearts,chrome-hearts,Streetwear > Chrome Hearts,streetwear > chrome-hearts,"chrome hearts"
streetwear,aime-leon-dore,Aime Leon Dore,aime-leon-dore,Streetwear > Aime Leon Dore,streetwear > aime-leon-dore,"aime leon dore, ald"
sneakers,maison-mihara,Peterson,maison-mihara-peterson,Sneakers > Maison Mihara > Maison Mihara Peterson,sneakers > maison-mihara > maison-mihara-peterson,"peterson, mihara peterson"
sneakers,maison-mihara,Hank,maison-mihara-hank,Sneakers > Maison Mihara > Maison Mihara Hank,sneakers > maison-mihara > maison-mihara-hank,"hank, mihara hank"
sneakers,maison-mihara,Blakey,maison-mihara-blakey,Sneakers > Maison Mihara > Maison Mihara Blakey,sneakers > maison-mihara > maison-mihara-blakey,"blakey, mihara blakey"
